Feb 21, 0310 PST
Current validators of subnet 18 sorted by their stakes:
Rank: 164, UID: 48, Stake: 0.5131075382232666 tao
Rank: 165, UID: 163, Stake: 0.5106199979782104 tao
Rank: 166, UID: 231, Stake: 0.4992648959159851 tao
Rank: 167, UID: 205, Stake: 0.4543761909008026 tao
Rank: 168, UID: 100, Stake: 0.45383942127227783 tao
Rank: 169, UID: 123, Stake: 0.4537091553211212 tao
Rank: 170, UID: 47, Stake: 0.44620010256767273 tao
Rank: 171, UID: 93, Stake: 0.42638224363327026 tao
Rank: 172, UID: 160, Stake: 0.41841626167297363 tao
Rank: 173, UID: 67, Stake: 0.40501463413238525 tao
Rank: 174, UID: 165, Stake: 0.3873439431190491 tao
Rank: 175, UID: 91, Stake: 0.36682838201522827 tao
Rank: 176, UID: 213, Stake: 0.3077547550201416 tao
Rank: 177, UID: 155, Stake: 0.3072523772716522 tao
Rank: 178, UID: 43, Stake: 0.3057818114757538 tao
Rank: 179, UID: 154, Stake: 0.3004077970981598 tao
Rank: 180, UID: 233, Stake: 0.27690935134887695 tao
Rank: 181, UID: 11, Stake: 0.27181878685951233 tao
Rank: 182, UID: 125, Stake: 0.24861524999141693 tao
Rank: 183, UID: 52, Stake: 0.2451932728290558 tao
Rank: 184, UID: 101, Stake: 0.238711416721344 tao
Rank: 185, UID: 105, Stake: 0.22747914493083954 tao
Rank: 186, UID: 159, Stake: 0.21451278030872345 tao
Rank: 187, UID: 21, Stake: 0.20297667384147644 tao
Rank: 188, UID: 167, Stake: 0.2028525471687317 tao
Rank: 189, UID: 161, Stake: 0.2000938355922699 tao
Rank: 190, UID: 102, Stake: 0.18910273909568787 tao
Rank: 191, UID: 139, Stake: 0.1669897437095642 tao
Rank: 192, UID: 37, Stake: 0.057404473423957825 tao
Rank: 193, UID: 3, Stake: 0.010000000707805157 tao
Rank: 194, UID: 33, Stake: 0.010000000707805157 tao
Rank: 195, UID: 41, Stake: 0.010000000707805157 tao
Rank: 196, UID: 54, Stake: 0.010000000707805157 tao
Rank: 197, UID: 141, Stake: 0.010000000707805157 tao
Rank: 198, UID: 166, Stake: 0.010000000707805157 tao
Rank: 199, UID: 202, Stake: 0.010000000707805157 tao
Rank: 200, UID: 2, Stake: 0.009999999776482582 tao
Rank: 201, UID: 4, Stake: 0.009999999776482582 tao
Rank: 202, UID: 19, Stake: 0.009999999776482582 tao
Rank: 203, UID: 20, Stake: 0.009999999776482582 tao
Rank: 204, UID: 24, Stake: 0.009999999776482582 tao
Rank: 205, UID: 40, Stake: 0.009999999776482582 tao
Rank: 206, UID: 50, Stake: 0.009999999776482582 tao
Rank: 207, UID: 55, Stake: 0.009999999776482582 tao
Rank: 208, UID: 57, Stake: 0.009999999776482582 tao
Rank: 209, UID: 58, Stake: 0.009999999776482582 tao
Rank: 210, UID: 60, Stake: 0.009999999776482582 tao
Rank: 211, UID: 63, Stake: 0.009999999776482582 tao
Rank: 212, UID: 66, Stake: 0.009999999776482582 tao
Rank: 213, UID: 69, Stake: 0.009999999776482582 tao
Rank: 214, UID: 73, Stake: 0.009999999776482582 tao
Rank: 215, UID: 77, Stake: 0.009999999776482582 tao
Rank: 216, UID: 79, Stake: 0.009999999776482582 tao
Rank: 217, UID: 87, Stake: 0.009999999776482582 tao
Rank: 218, UID: 98, Stake: 0.009999999776482582 tao
Rank: 219, UID: 127, Stake: 0.009999999776482582 tao
Rank: 220, UID: 132, Stake: 0.009999999776482582 tao
Rank: 221, UID: 134, Stake: 0.009999999776482582 tao
Rank: 222, UID: 136, Stake: 0.009999999776482582 tao
Rank: 223, UID: 142, Stake: 0.009999999776482582 tao
Rank: 224, UID: 143, Stake: 0.009999999776482582 tao
Rank: 225, UID: 145, Stake: 0.009999999776482582 tao
Rank: 226, UID: 147, Stake: 0.009999999776482582 tao
Rank: 227, UID: 148, Stake: 0.009999999776482582 tao
Rank: 228, UID: 151, Stake: 0.009999999776482582 tao
Rank: 229, UID: 157, Stake: 0.009999999776482582 tao
Rank: 230, UID: 169, Stake: 0.009999999776482582 tao
Rank: 231, UID: 171, Stake: 0.009999999776482582 tao
Rank: 232, UID: 177, Stake: 0.009999999776482582 tao
Rank: 233, UID: 180, Stake: 0.009999999776482582 tao
Rank: 234, UID: 182, Stake: 0.009999999776482582 tao
Rank: 235, UID: 183, Stake: 0.009999999776482582 tao
Rank: 236, UID: 186, Stake: 0.009999999776482582 tao
Rank: 237, UID: 187, Stake: 0.009999999776482582 tao
